Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.50mm,2,C_Polarized,
"C3, C4, C5",C_Disc_D3.8mm_W2.6mm_P2.50mm,3,0.1uF,
J1,JST_XH_S6B-XH-A-1_1x06_P2.50mm_Horizontal,1,Conn_01x06_Socket,
J2,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,
Q1,TO-220-3_Horizontal_TabDown,1,Q_NMOS_GDS,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,21,R,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH-12mm,20,SW_Push,
U1,PinHeader_1x10_P1.27mm_Horizontal,1,ADS1015IDGS,
"U2, U3",DIP-28_W7.62mm,2,MCP23017_SP,
"U4, U5",Connector_PinSocket_2.54mmPinSocket_3x03_P2.54mm_Vertical,2,~,
